621,46,185,188,0,0,0,0
13,307,497,27,61,1,1,0,0
14,234,698,80,57,1,2,1,0
15,612,328,26,78,1,1,0,0
16,275,604,58,55,1,2,0,1
17,296,582,46,60,1,2,0,1
18,318,556,56,59,1,2,0,1
19,601,321,24,69,1,1,0,2
20,412,548,73,103,1,10,0,0
25,560,300,30,75,1,1,0,0
32,450,444,34,91,1,1,0,1
36,573,292,24,68,1,1,0,0
37,633,301,25,74,1,1,0,1
38,652,292,24,67,1,1,0,1
40,501,431,70,79,1,10,0,0
41,532,377,78,73,1,10,0,1
42,714,299,33,71,1,2,0,0
43,702,267,28,65,1,1,0,1
44,758,271,27,43,1,10,0,0
46,759,251,27,51,1,2,0,1
48,675,226,23,55,1,1,0,1
49,654,212,28,62,1,1,0,1
50,578,180,16,40,1,1,0,0
51,371,475,41,91,1,1,0,1
52,369,515,31,68,1,1,0,1
53,362,496,24,64,1,1,0,1
54,358,406,31,72,1,1,0,0
55,225,556,39,82,1,1,0,0
56,247,494,44,70,1,1,0,1
57,292,425,32,74,1,1,0,0
58,316,398,32,85,1,1,0,0
