translation_x,translation_y,frame_numbers
-1.8525937362147375e-10,-3.958006975844183e-10,frame_000000
0.0074604744791918,0.0169300052335208,frame_000004
0.0111057909034566,0.0338600110217553,frame_000008
0.0112756334310657,0.0507900169512178,frame_000012
0.0187361087749624,0.0677200224252115,frame_000016
0.0261965837637654,0.0816356496424966,frame_000020
0.0336570584475458,0.0926653725058377,frame_000024
0.0411175332291911,0.0983087084822258,frame_000028
0.0485780080859109,0.1008091916827475,frame_000032
0.0560384830363787,0.1004237699852261,frame_000036
0.0634989584509186,0.0947804345889357,frame_000040
0.0666347483298502,0.095679752024817,frame_000044
0.0673141168253119,0.1008091919224421,frame_000048
0.0747745922481471,0.1008091921237588,frame_000052
0.082235067278342,0.0974093917558717,frame_000056
0.0905447529097107,0.0917660561060428,frame_000060
0.1054657023496132,0.0861227205589862,frame_000064
0.1297153913496536,0.0734228368293135,frame_000068
0.1615953978424975,0.0557219874629944,frame_000072
0.2063582479448653,0.0331486467265125,frame_000076
0.2511210977231651,0.0069185578794757,frame_000080
0.2970728428998519,-0.0203988008259876,frame_000084
0.3492961694930408,-0.0429721410965428,frame_000088
0.4215357109556401,-0.0655454810621509,frame_000092
0.5049596743074756,-0.0891466118697062,frame_000096
0.5944853756484122,-0.1173632855563926,frame_000100
0.7047066615212627,-0.145579958305704,frame_000104
0.827131422639757,-0.1726403651567287,frame_000108
0.9614199742579402,-0.1952137006026948,frame_000112
1.1063960021131842,-0.2218292042203865,frame_000116
1.2607007696287384,-0.2487611333313908,frame_000120
1.4322916993150636,-0.271334465018959,frame_000124
1.6149097891637836,-0.2980784378799421,frame_000128
1.8032899321049956,-0.3262951009748008,frame_000132
1.9972622863805367,-0.3545117625220409,frame_000136
2.2082849105331275,-0.3784293053295434,frame_000140
2.4266767993788303,-0.4025443155132029,frame_000144
2.6504910585381496,-0.430760970361997,frame_000148
2.886011849900781,-0.4545500337895791,frame_000152
3.129162961478022,-0.4787935126238448,frame_000156
3.38281913183339,-0.5070101622261239,frame_000160
3.642498406077664,-0.5397828718793102,frame_000164
3.9059928383185145,-0.5718442152016263,frame_000168
4.174569955325496,-0.6000608573189753,frame_000172
4.449340019209726,-0.6376465683282774,frame_000176
4.730472874976344,-0.6771498676551475,frame_000180
5.021431417388484,-0.7166531636852699,frame_000184
5.31875276823954,-0.7609694665653337,frame_000188
5.619889279017115,-0.8040605071138386,frame_000192
5.925768787088734,-0.8435637934150307,frame_000196
6.231648297155346,-0.8830670754730924,frame_000200
6.540415121365612,-0.9247544086039144,frame_000204
6.853755098465722,-0.9699010131247802,frame_000208
7.1670950731441865,-1.0099776559270444,frame_000212
7.480435052689994,-1.049480922909541,frame_000216
7.793775039640839,-1.088984187798293,frame_000220
8.10711503047163,-1.123289019352268,frame_000224
8.426909024037592,-1.1571489475646977,frame_000228
8.755169964225951,-1.1910088717137646,frame_000232
9.090473071481975,-1.230195693673452,frame_000236
9.426194495374192,-1.269698939146158,frame_000240
9.761915920724212,-1.309202181860189,frame_000244
10.112061361942922,-1.3432500425480292,frame_000248
10.466270432881789,-1.3825058437027526,frame_000252
10.82437329077367,-1.4276523993069288,frame_000256
11.182476167753704,-1.4672151020275714,frame_000260
11.54431557593805,-1.5095447444518115,frame_000264
11.910061357342844,-1.5547602836557597,frame_000268
12.29054566971596,-1.605550144302181,frame_000272
12.671029989350648,-1.656340001562043,frame_000276
13.051775369743272,-1.7073273242491829,frame_000280
13.439720183293543,-1.7637604953198676,frame_000284
