x,y,z,qx,qy,qz,qw,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715274312143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152743621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715274412143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152744621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715274512143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152745621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715274612143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152746621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715274712143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152747621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715274812143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152748621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715274912143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152749621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715275012143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152750621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715275112143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152751621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715275212143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152752621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715275312143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152753621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715275412143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152754621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715275512143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152755621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715275612143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152756621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715275712143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152757621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715275812143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152758621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715275912143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152759621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715276012143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152760621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715276112143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152761621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715276212143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152762621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715276312143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152763621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715276412143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152764621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715276512143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152765621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715276612143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152766621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715276712143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152767621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715276812143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152768621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715276912143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152769621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715277012143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152770621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715277112143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152771621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715277212143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152772621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715277312143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152773621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715277412143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152774621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715277512143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152775621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715277612143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152776621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715277712143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152777621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715277812143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152778621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715277912143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152779621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715278012143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152780621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715278112143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152781621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715278212143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152782621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715278312143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152783621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715278412143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152784621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715278512143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152785621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715278612143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152786621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715278712143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152787621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715278812143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152788621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715278912143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152789621427e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.403715279012143e+18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4037152790621427e+18
